top - 15:27:06 up 49 min,  1 user,  load average: 0.74, 0.64, 0.37
Tasks: 317 total,   1 running, 316 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni, 95.2 id,  4.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    225.4 free,   2491.1 used,   1146.9 buff/cache     
MiB Swap:   3771.0 total,   3680.9 free,     90.1 used.   1376.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8009 sysadmin  20   0   23168   5384   3336 R  10.0   0.1   0:00.01 top
      1 root      20   0   23288  14336   9472 S   0.0   0.4   0:01.90 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.12 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.10 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:00.83 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.02 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.49 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.19 ksoftir+
     28 root      20   0       0      0      0 I   0.0   0.0   0:01.51 kworker+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 I   0.0   0.0   0:00.42 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.26 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.76 kswapd0
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
